ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,denominator,estimate,CA_RR,version
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0607192260,Ontario CCD,San Bernardino,06071,Southern California,14,4743,22478,21.1,1.219653179,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0603593280,Susanville CCD,Lassen,06035,Northeast Sierra,06,2,1366,0.1,0.005780346821,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0607192100,Newberry-Baker CCD,San Bernardino,06071,Southern California,14,137,808,17,0.9826589595,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0609792940,Santa Rosa CCD,Sonoma,06097,Bay Area,01,452,2271,19.9,1.150289017,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0600190020,Alameda CCD,Alameda,06001,Bay Area,01,682,2412,28.3,1.63583815,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0603790310,Calabasas CCD,Los Angeles,06037,Southern California,14,283,431,65.7,3.797687861,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0600190200,Berkeley CCD,Alameda,06001,Bay Area,01,2121,9758,21.7,1.25433526,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0603791120,Glendale CCD,Los Angeles,06037,Southern California,14,453,1547,29.3,1.693641618,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0607791870,Manteca CCD,San Joaquin,06077,San Joaquin Valley,10,109,1326,8.2,0.4739884393,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0603791750,Los Angeles CCD,Los Angeles,06037,Southern California,14,51586,272113,19,1.098265896,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CD,0601390080,Antioch-Pittsburg CCD,Contra Costa,06013,Bay Area,01,1424,9941,14.3,0.8265895954,Tue Jun 12 12:05:41 2018
